,,,,,,,,,
Długość geograficzna,Szerokość geograficzna,Identyfikator punktu,Deklaracja segregacji,Typ nieruchomości,Typ odpadu,Typ pojemnika,Identyfikator transpondera (DEC),Identyfikator transpondera (HEX),Nr pojemnika
23.092502,53.125116,1000035,T,Jednorodzinna,zmieszane,120,18014398708594528,4000000BDE3760,4000000BDE3760
23.092667,53.12492,1000036,T,Jednorodzinna,SUCHE,worek,,,
23.092667,53.12492,1000036,T,Jednorodzinna,gabaryty,kontener,,,
23.092667,53.12492,1000036,T,Jednorodzinna,popiół,worek,,,
23.092667,53.12492,1000036,T,Jednorodzinna,szkło,worek,,,
23.092667,53.12492,1000036,T,Jednorodzinna,zielone,worek,,,
23.092667,53.12492,1000036,T,Jednorodzinna,zmieszane,120,18014398708608962,4000000BDE6FC2,4000000BDE6FC2
23.093058,53.124467,1000037,T,Jednorodzinna,SUCHE,worek,,,
23.093058,53.124467,1000037,T,Jednorodzinna,gabaryty,kontener,,,
23.093058,53.124467,1000037,T,Jednorodzinna,popiół,worek,,,
23.093058,53.124467,1000037,T,Jednorodzinna,szkło,worek,,,
23.093058,53.124467,1000037,T,Jednorodzinna,zielone,worek,,,
23.093058,53.124467,1000037,T,Jednorodzinna,zmieszane,120,18014398708595416,4000000BDE3AD8,4000000BDE3AD8
23.092698,53.124929,1000038,T,Jednorodzinna,SUCHE,worek,,,
23.092698,53.124929,1000038,T,Jednorodzinna,gabaryty,kontener,,,
23.092698,53.124929,1000038,T,Jednorodzinna,popiół,worek,,,
23.092698,53.124929,1000038,T,Jednorodzinna,szkło,worek,,,
23.092698,53.124929,1000038,T,Jednorodzinna,zielone,worek,,,
23.092698,53.124929,1000038,T,Jednorodzinna,zmieszane,120,18014398708609825,4000000BDE7321,4000000BDE7321
23.092827,53.124764,1000039,T,Jednorodzinna,SUCHE,worek,,,
23.092827,53.124764,1000039,T,Jednorodzinna,gabaryty,kontener,,,
23.092827,53.124764,1000039,T,Jednorodzinna,popiół,worek,,,
23.092827,53.124764,1000039,T,Jednorodzinna,szkło,worek,,,
23.092827,53.124764,1000039,T,Jednorodzinna,zielone,worek,,,
23.092827,53.124764,1000039,T,Jednorodzinna,zmieszane,120,18014398708609169,4000000BDE7091,4000000BDE7091
23.092698,53.124929,1000040,T,Jednorodzinna,SUCHE,worek,,,
23.092698,53.124929,1000040,T,Jednorodzinna,gabaryty,kontener,,,
23.092698,53.124929,1000040,T,Jednorodzinna,popiół,worek,,,
23.092698,53.124929,1000040,T,Jednorodzinna,szkło,worek,,,
23.092698,53.124929,1000040,T,Jednorodzinna,zielone,worek,,,
23.092698,53.124929,1000040,T,Jednorodzinna,zmieszane,120,18014398708592308,4000000BDE2EB4,4000000BDE2EB4
23.09256,53.125093,1000041,T,Jednorodzinna,SUCHE,worek,,,
23.09256,53.125093,1000041,T,Jednorodzinna,gabaryty,kontener,,,
23.09256,53.125093,1000041,T,Jednorodzinna,popiół,worek,,,
23.09256,53.125093,1000041,T,Jednorodzinna,szkło,worek,,,
23.09256,53.125093,1000041,T,Jednorodzinna,zielone,worek,,,
23.09256,53.125093,1000041,T,Jednorodzinna,zmieszane,120,18014398708609299,4000000BDE7113,4000000BDE7113
23.092173,53.125698,1000042,T,Jednorodzinna,SUCHE,worek,,,
23.092173,53.125698,1000042,T,Jednorodzinna,gabaryty,kontener,,,
23.092173,53.125698,1000042,T,Jednorodzinna,popiół,worek,,,
23.092173,53.125698,1000042,T,Jednorodzinna,szkło,worek,,,
23.092173,53.125698,1000042,T,Jednorodzinna,zielone,worek,,,
23.092173,53.125698,1000042,T,Jednorodzinna,zmieszane,120,18014398708593208,4000000BDE3238,4000000BDE3238
23.091867,53.125991,1000043,T,Jednorodzinna,SUCHE,worek,,,
23.091867,53.125991,1000043,T,Jednorodzinna,gabaryty,kontener,,,
23.091867,53.125991,1000043,T,Jednorodzinna,popiół,worek,,,
23.091867,53.125991,1000043,T,Jednorodzinna,szkło,worek,,,
23.091867,53.125991,1000043,T,Jednorodzinna,zielone,worek,,,
23.091867,53.125991,1000043,T,Jednorodzinna,zmieszane,120,18014398708609098,4000000BDE704A,4000000BDE704A
23.09176,53.126204,1000044,T,Jednorodzinna,SUCHE,worek,,,
23.09176,53.126204,1000044,T,Jednorodzinna,gabaryty,kontener,,,
23.09176,53.126204,1000044,T,Jednorodzinna,popiół,worek,,,
23.09176,53.126204,1000044,T,Jednorodzinna,szkło,worek,,,
23.09176,53.126204,1000044,T,Jednorodzinna,zielone,worek,,,
23.09176,53.126204,1000044,T,Jednorodzinna,zmieszane,120,18014398708590474,4000000BDE278A,4000000BDE278A
23.091938,53.125987,1000045,T,Jednorodzinna,SUCHE,worek,,,
23.091938,53.125987,1000045,T,Jednorodzinna,gabaryty,kontener,,,
23.091938,53.125987,1000045,T,Jednorodzinna,popiół,worek,,,
23.091938,53.125987,1000045,T,Jednorodzinna,szkło,worek,,,
23.091938,53.125987,1000045,T,Jednorodzinna,zielone,worek,,,
23.091938,53.125987,1000045,T,Jednorodzinna,zmieszane,120,18014398708609220,4000000BDE70C4,4000000BDE70C4
23.091644,53.126716,1000046,T,Jednorodzinna,SUCHE,worek,,,
