,,,,,,,,
Długość geograficzna,Szerokość geograficzna,Deklaracja segregacji,Typ nieruchomości,Typ odpadu,Typ pojemnika,Identyfikator transpondera (DEC),Identyfikator transpondera (HEX),Nr pojemnika
23.093058,53.124467,T,Jednorodzinna,zielone,worek,,,
23.093058,53.124467,T,Jednorodzinna,zmieszane,120,18014398708595416,4000000BDE3AD8,4000000BDE3AD8
23.092698,53.124929,T,Jednorodzinna,SUCHE,worek,,,
23.092698,53.124929,T,Jednorodzinna,gabaryty,kontener,,,
23.092698,53.124929,T,Jednorodzinna,popiół,worek,,,
23.092698,53.124929,T,Jednorodzinna,szkło,worek,,,
23.092698,53.124929,T,Jednorodzinna,zielone,worek,,,
23.092698,53.124929,T,Jednorodzinna,zmieszane,120,18014398708609825,4000000BDE7321,4000000BDE7321
23.092827,53.124764,T,Jednorodzinna,SUCHE,worek,,,
23.092827,53.124764,T,Jednorodzinna,gabaryty,kontener,,,
23.092827,53.124764,T,Jednorodzinna,popiół,worek,,,
23.092827,53.124764,T,Jednorodzinna,szkło,worek,,,
23.092827,53.124764,T,Jednorodzinna,zielone,worek,,,
23.092827,53.124764,T,Jednorodzinna,zmieszane,120,18014398708609169,4000000BDE7091,4000000BDE7091
23.092698,53.124929,T,Jednorodzinna,SUCHE,worek,,,
23.092698,53.124929,T,Jednorodzinna,gabaryty,kontener,,,
23.092698,53.124929,T,Jednorodzinna,popiół,worek,,,
23.092698,53.124929,T,Jednorodzinna,szkło,worek,,,
23.092698,53.124929,T,Jednorodzinna,zielone,worek,,,
23.092698,53.124929,T,Jednorodzinna,zmieszane,120,18014398708592308,4000000BDE2EB4,4000000BDE2EB4
23.09256,53.125093,T,Jednorodzinna,SUCHE,worek,,,
23.09256,53.125093,T,Jednorodzinna,gabaryty,kontener,,,
23.09256,53.125093,T,Jednorodzinna,popiół,worek,,,
23.09256,53.125093,T,Jednorodzinna,szkło,worek,,,
23.09256,53.125093,T,Jednorodzinna,zielone,worek,,,
23.09256,53.125093,T,Jednorodzinna,zmieszane,120,18014398708609299,4000000BDE7113,4000000BDE7113
23.091809,53.125991,T,Jednorodzinna,SUCHE,worek,,,
23.091809,53.125991,T,Jednorodzinna,gabaryty,kontener,,,
23.091809,53.125991,T,Jednorodzinna,popiół,worek,,,
23.091809,53.125991,T,Jednorodzinna,szkło,worek,,,
23.091809,53.125991,T,Jednorodzinna,zielone,worek,,,
23.091809,53.125991,T,Jednorodzinna,zmieszane,120,18014398708593208,4000000BDE3238,4000000BDE3238
23.091867,53.125991,T,Jednorodzinna,SUCHE,worek,,,
23.091867,53.125991,T,Jednorodzinna,gabaryty,kontener,,,
23.091867,53.125991,T,Jednorodzinna,popiół,worek,,,
23.091867,53.125991,T,Jednorodzinna,szkło,worek,,,
23.091867,53.125991,T,Jednorodzinna,zielone,worek,,,
23.091867,53.125991,T,Jednorodzinna,zmieszane,120,18014398708609098,4000000BDE704A,4000000BDE704A
23.09176,53.126204,T,Jednorodzinna,SUCHE,worek,,,
23.09176,53.126204,T,Jednorodzinna,gabaryty,kontener,,,
23.09176,53.126204,T,Jednorodzinna,popiół,worek,,,
23.09176,53.126204,T,Jednorodzinna,szkło,worek,,,
23.09176,53.126204,T,Jednorodzinna,zielone,worek,,,
23.09176,53.126204,T,Jednorodzinna,zmieszane,120,18014398708590474,4000000BDE278A,4000000BDE278A
23.091938,53.125987,T,Jednorodzinna,SUCHE,worek,,,
23.091938,53.125987,T,Jednorodzinna,gabaryty,kontener,,,
23.091938,53.125987,T,Jednorodzinna,popiół,worek,,,
23.091938,53.125987,T,Jednorodzinna,szkło,worek,,,
23.091938,53.125987,T,Jednorodzinna,zielone,worek,,,
23.091938,53.125987,T,Jednorodzinna,zmieszane,120,18014398708609220,4000000BDE70C4,4000000BDE70C4
23.091644,53.126716,T,Jednorodzinna,SUCHE,worek,,,
23.091644,53.126716,T,Jednorodzinna,gabaryty,kontener,,,
23.091644,53.126716,T,Jednorodzinna,popiół,worek,,,
23.091644,53.126716,T,Jednorodzinna,szkło,worek,,,
23.091644,53.126716,T,Jednorodzinna,zielone,worek,,,
23.091644,53.126716,T,Jednorodzinna,zmieszane,120,18014398708581648,4000000BDE0510,4000000BDE0510
23.091693,53.12628,T,Jednorodzinna,SUCHE,worek,,,
23.091693,53.12628,T,Jednorodzinna,gabaryty,kontener,,,
23.091693,53.12628,T,Jednorodzinna,popiół,worek,,,
23.091693,53.12628,T,Jednorodzinna,szkło,worek,,,
23.091693,53.12628,T,Jednorodzinna,zielone,worek,,,
23.091693,53.12628,T,Jednorodzinna,zmieszane,240,18014398708608741,4000000BDE6EE5,4000000BDE6EE5
23.091236,53.126871,T,Jednorodzinna,SUCHE,worek,,,
23.091236,53.126871,T,Jednorodzinna,gabaryty,kontener,,,
23.091236,53.126871,T,Jednorodzinna,popiół,worek,,,
23.091236,53.126871,T,Jednorodzinna,szkło,worek,,,
23.091236,53.126871,T,Jednorodzinna,zielone,worek,,,
23.091236,53.126871,T,Jednorodzinna,zmieszane,120,18014398708580804,4000000BDE01C4,4000000BDE01C4
23.091044,53.127133,T,Jednorodzinna,SUCHE,worek,,,
23.091044,53.127133,T,Jednorodzinna,gabaryty,kontener,,,
23.091044,53.127133,T,Jednorodzinna,popiół,worek,,,
23.091044,53.127133,T,Jednorodzinna,szkło,worek,,,
23.091044,53.127133,T,Jednorodzinna,zielone,worek,,,
23.091044,53.127133,T,Jednorodzinna,zmieszane,120,18014398708592361,4000000BDE2EE9,4000000BDE2EE9
23.091418,53.126573,T,Jednorodzinna,SUCHE,worek,,,
23.091418,53.126573,T,Jednorodzinna,gabaryty,kontener,,,
23.091418,53.126573,T,Jednorodzinna,popiół,worek,,,
23.091418,53.126573,T,Jednorodzinna,szkło,worek,,,
23.091418,53.126573,T,Jednorodzinna,zielone,worek,,,
23.091418,53.126573,T,Jednorodzinna,zmieszane,120,18014398708592434,4000000BDE2F32,4000000BDE2F32
23.091733,53.126058,T,Jednorodzinna,SUCHE,worek,,,
23.091733,53.126058,T,Jednorodzinna,gabaryty,kontener,,,
23.091733,53.126058,T,Jednorodzinna,popiół,worek,,,
23.091733,53.126058,T,Jednorodzinna,szkło,worek,,,
23.091733,53.126058,T,Jednorodzinna,zielone,worek,,,
23.091733,53.126058,T,Jednorodzinna,zmieszane,120,18014398708609741,4000000BDE72CD,4000000BDE72CD
23.091698,53.126116,T,Jednorodzinna,SUCHE,worek,,,
23.091698,53.126116,T,Jednorodzinna,gabaryty,kontener,,,
23.091698,53.126116,T,Jednorodzinna,popiół,worek,,,
23.091698,53.126116,T,Jednorodzinna,szkło,worek,,,
23.091698,53.126116,T,Jednorodzinna,zielone,worek,,,
23.091698,53.126116,T,Jednorodzinna,zmieszane,120,18014398708607371,4000000BDE698B,4000000BDE698B
