Lp.,KWIT NR,DATA 1 WAŻENIA,DATA 2 WAŻENIA,POJAZD/ WAGON,KONTRAHENT,PRODUKT,POCHODZENIE,"WAŻENIE 1(BRUTTO)","WAŻENIE 2(TARA)",TYP WAŻENIA,NETTO
5872,10751/2017,2017-06-22 16:45:46,2017-06-22 16:52:08,287,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"25,74","20,48",PZ,5.26
5873,10752/2017,2017-06-22 17:44:12,2017-06-22 17:49:59,908,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 3,"16,14","14,46",PZ,1.68
5874,10753/2017,2017-06-22 18:04:17,2017-06-22 18:10:49,1020,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 1,"24,28","18,3",PZ,5.98
5875,10754/2017,2017-06-22 18:05:29,2017-06-22 18:11:32,758,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 1,"23,62","16,42",PZ,7.2
5876,10755/2017,2017-06-22 18:46:49,2017-06-22 19:11:21,BI 3768V,Zakład Gospodarowania Odpadami Sp. z o.o.,19 12 12,Łomża,"39,68","15,12",PZ,24.56
5877,10773/2017,2017-06-23 06:07:49,2017-06-23 06:13:46,247,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"7,36","6,4",PZ,0.96
5878,10776/2017,2017-06-23 06:12:34,2017-06-23 06:32:31,BI 3229W,Przedsiębiorstwo Usług Komunalnych Sp. z o.o,19 12 12,HAJNÓWKA,"36,72","15,74",PZ,20.98
5879,10789/2017,2017-06-23 06:34:25,2017-06-23 06:39:04,720,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"8,6","7,5",PZ,1.1
5880,10790/2017,2017-06-23 07:00:46,2017-06-23 07:08:37,BI 3655W,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"20,98","13,94",PZ,7.04
5881,10793/2017,2017-06-23 07:54:01,2017-06-23 07:58:56,720,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"7,76","7,52",PZ,0.24
5882,10794/2017,2017-06-23 08:15:59,2017-06-23 08:21:17,720,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"7,92","7,52",PZ,0.4
5883,10795/2017,2017-06-23 08:36:40,2017-06-23 08:55:09,BHA 23UC,Przedsiębiorstwo Usług Komunalnych Sp. z o.o,19 12 12,HAJNÓWKA,33,"15,38",PZ,17.62
5884,10796/2017,2017-06-23 08:48:07,2017-06-23 08:54:22,247,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"7,08","6,38",PZ,0.7
5885,10797/2017,2017-06-23 08:58:17,2017-06-23 09:06:22,BI 3655W,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"23,2","13,92",PZ,9.28
5886,10799/2017,2017-06-23 09:10:27,2017-06-23 09:32:01,BI 3768V,Zakład Gospodarowania Odpadami Sp. z o.o.,19 12 12,Łomża,"40,16","15,14",PZ,25.02
5887,10800/2017,2017-06-23 09:21:14,2017-06-23 09:31:23,227,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"20,96","14,66",PZ,6.3
5888,10801/2017,2017-06-23 09:35:18,2017-06-23 09:40:23,720,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"7,88","7,62",PZ,0.26
5889,10802/2017,2017-06-23 09:39:23,2017-06-23 09:59:25,BI 47923,MPO Sp. z o.o.,20 03 01,SIDRA,"34,66","16,46",PZ,18.2
5890,10803/2017,2017-06-23 09:54:48,2017-06-23 10:09:28,BI 6247H,MPO Sp. z o.o.,19 12 10,BIAŁYSTOK,"37,58","15,88",PZ,21.7
5891,10804/2017,2017-06-23 10:06:00,2017-06-23 10:11:40,720,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"7,84","7,62",PZ,0.22
5892,10805/2017,2017-06-23 10:30:42,2017-06-23 10:36:42,247,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"7,56","6,28",PZ,1.28
5893,10806/2017,2017-06-23 10:43:50,2017-06-23 10:48:36,087,"Przedsiębiorstwo Usługowo-Asenizacyjne ""ASTWA"" Sp. z o.o.",20 03 01,ZABŁUDÓW,"25,38",16,PZ,9.38
5894,10807/2017,2017-06-23 11:05:20,2017-06-23 11:12:41,BI 3655W,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"20,14","13,94",PZ,6.2
5895,10809/2017,2017-06-23 11:19:37,2017-06-23 11:26:05,1012,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"25,38","14,06",PZ,11.32
5896,10810/2017,2017-06-23 11:20:48,2017-06-23 11:26:58,01,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 5,"10,18","8,98",PZ,1.2
5897,10811/2017,2017-06-23 11:27:44,2017-06-23 11:33:29,237,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"26,82","15,86",PZ,10.96
5898,10812/2017,2017-06-23 11:49:58,2017-06-23 11:56:03,096,Miasto Białystok- Urząd Miejski w Białymstoku (gm. Czarna Białostocka),20 03 01,Czarna Białostocka,"20,38","12,48",PZ,7.9
5899,10813/2017,2017-06-23 12:07:38,2017-06-23 12:14:07,920,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 3,"25,94","15,78",PZ,10.16
5900,10814/2017,2017-06-23 12:09:06,2017-06-23 12:13:19,247,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"6,76","6,38",PZ,0.38
5901,10815/2017,2017-06-23 12:20:15,2017-06-23 12:25:12,247,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"6,8","6,38",PZ,0.42
5902,10816/2017,2017-06-23 12:21:48,2017-06-23 12:28:27,909,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"21,14","12,22",PZ,8.92
5903,10817/2017,2017-06-23 13:08:04,2017-06-23 13:12:01,999,MPO Sp. z o.o.,20 03 01,CHOROSZCZ,"4,14","3,64",PZ,0.5
5904,10818/2017,2017-06-23 13:19:10,2017-06-23 13:26:46,BI 3655W,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"21,94","13,92",PZ,8.02
5905,10820/2017,2017-06-23 13:37:11,2017-06-23 13:43:08,287,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"27,62","18,98",PZ,8.64
5906,10821/2017,2017-06-23 13:51:07,2017-06-23 14:00:01,09,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 5,"13,82","12,36",PZ,1.46
5907,10822/2017,2017-06-23 14:24:58,2017-06-23 14:30:25,05,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 5,"21,44","13,8",PZ,7.64
5908,10823/2017,2017-06-23 15:23:22,2017-06-23 15:30:17,BI 3655W,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"22,12","13,9",PZ,8.22
5909,10824/2017,2017-06-23 16:24:20,2017-06-23 16:36:57,1020,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 1,"22,3","18,42",PZ,3.88
5910,10825/2017,2017-06-23 16:25:02,2017-06-23 16:30:59,758,MPO Sp. z o.o.,20 03 01,CHOROSZCZ,"20,88","16,32",PZ,4.56
5911,10826/2017,2017-06-23 17:13:31,2017-06-23 17:34:18,BI 3768V,Zakład Gospodarowania Odpadami Sp. z o.o.,19 12 12,Łomża,"38,36","15,06",PZ,23.3
5912,10827/2017,2017-06-23 17:25:46,2017-06-23 17:29:57,652,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,7,"6,7",PZ,0.3
5913,10842/2017,2017-06-24 07:50:19,2017-06-24 07:56:09,720,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"8,52","7,6",PZ,0.92
5914,10843/2017,2017-06-24 09:52:43,2017-06-24 09:57:47,04,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 2,"23,86",14,PZ,9.86
5915,10844/2017,2017-06-24 10:10:37,2017-06-24 10:17:53,067,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"25,34","15,22",PZ,10.12
5916,10845/2017,2017-06-24 12:51:41,2017-06-24 12:59:03,577,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"23,38","16,76",PZ,6.62
5917,10877/2017,2017-06-26 06:54:23,2017-06-26 07:11:13,BI 4792J,MPO Sp. z o.o.,19 12 12,BIAŁYSTOK,"39,26","16,98",PZ,22.28
5918,10878/2017,2017-06-26 07:17:54,2017-06-26 07:37:48,BI 6247H,MPO Sp. z o.o.,19 12 12,BIAŁYSTOK,"38,8","15,88",PZ,22.92
5919,10879/2017,2017-06-26 07:18:52,2017-06-26 07:23:20,777,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"7,3","7,06",PZ,0.24
5920,10880/2017,2017-06-26 07:27:16,2017-06-26 07:44:22,BI 3229W,Przedsiębiorstwo Usług Komunalnych Sp. z o.o,19 12 12,HAJNÓWKA,"36,76","15,76",PZ,21
5921,10883/2017,2017-06-26 07:52:26,2017-06-26 07:56:20,007,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"26,4","15,38",PZ,11.02
5922,10884/2017,2017-06-26 07:57:39,2017-06-26 08:04:40,BI 3655W,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"22,68","14,12",PZ,8.56
5923,10885/2017,2017-06-26 08:02:08,2017-06-26 08:18:23,BHA 87TC,Przedsiębiorstwo Usług Komunalnych Sp. z o.o,19 12 12,HAJNÓWKA,"35,72","15,84",PZ,19.88
5924,10887/2017,2017-06-26 08:09:51,2017-06-26 08:14:24,777,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"7,82","6,94",PZ,0.88
5925,10888/2017,2017-06-26 08:15:45,2017-06-26 08:20:43,077,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"27,64","15,8",PZ,11.84
5926,10890/2017,2017-06-26 08:42:05,2017-06-26 09:01:44,BI 4792J,MPO Sp. z o.o.,19 12 12,BIAŁYSTOK,"43,6","16,98",PZ,26.62
5927,10891/2017,2017-06-26 08:58:21,2017-06-26 09:03:00,920,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 3,"20,8","15,74",PZ,5.06
5928,10892/2017,2017-06-26 09:00:30,2017-06-26 09:19:38,BI 3768V,Zakład Gospodarowania Odpadami Sp. z o.o.,19 12 12,Łomża,"38,02",15,PZ,23.02
5929,10893/2017,2017-06-26 09:04:15,2017-06-26 09:21:01,BI 6247H,MPO Sp. z o.o.,19 12 12,BIAŁYSTOK,"39,54","15,9",PZ,23.64
5930,10894/2017,2017-06-26 09:05:20,2017-06-26 09:10:42,01,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 5,"9,68","8,84",PZ,0.84
5931,10895/2017,2017-06-26 09:46:17,2017-06-26 09:53:48,BI 3655W,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"22,8","14,1",PZ,8.7
5932,10896/2017,2017-06-26 09:51:41,2017-06-26 09:58:25,267,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"28,96",15,PZ,13.96
5933,10898/2017,2017-06-26 09:56:54,2017-06-26 10:03:31,067,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"26,98","15,32",PZ,11.66
5934,10899/2017,2017-06-26 09:59:17,2017-06-26 10:04:40,03,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 2,26,"13,94",PZ,12.06
5935,10900/2017,2017-06-26 09:59:55,2017-06-26 10:04:06,04,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 2,"27,38","14,06",PZ,13.32
5936,10901/2017,2017-06-26 10:05:40,2017-06-26 10:09:17,999,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 1,"4,56","3,64",PZ,0.92
5937,10902/2017,2017-06-26 10:19:18,2017-06-26 10:28:01,277,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"29,62","15,62",PZ,14
5938,10903/2017,2017-06-26 10:20:20,2017-06-26 10:26:18,577,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"28,32","16,74",PZ,11.58
5939,10904/2017,2017-06-26 10:30:44,2017-06-26 10:38:56,227,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"24,66","14,7",PZ,9.96
5940,10905/2017,2017-06-26 10:31:57,2017-06-26 10:36:16,1011,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 3,"4,16","3,56",PZ,0.6
5941,10906/2017,2017-06-26 10:37:32,2017-06-26 10:43:18,096,Miasto Białystok- Urząd Miejski w Białymstoku (gm. Czarna Białostocka),20 03 01,Czarna Białostocka,"22,84","12,8",PZ,10.04
5942,10907/2017,2017-06-26 10:45:33,2017-06-26 10:49:30,087,"Przedsiębiorstwo Usługowo-Asenizacyjne ""ASTWA"" Sp. z o.o.",20 03 01,ZABŁUDÓW,"21,8","16,22",PZ,5.58
5943,10909/2017,2017-06-26 10:55:44,2017-06-26 11:10:56,BI 6247H,MPO Sp. z o.o.,19 12 12,BIAŁYSTOK,"37,72","15,86",PZ,21.86
5944,10910/2017,2017-06-26 11:02:10,2017-06-26 11:07:35,007,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"25,72","15,08",PZ,10.64
5945,10911/2017,2017-06-26 11:06:43,2017-06-26 11:19:20,911,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 3,"29,68","15,76",PZ,13.92
5946,10912/2017,2017-06-26 11:10:11,2017-06-26 11:18:09,077,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"25,24","15,68",PZ,9.56
5947,10913/2017,2017-06-26 11:27:54,2017-06-26 11:34:14,907,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"27,14","15,14",PZ,12
5948,10914/2017,2017-06-26 11:35:27,2017-06-26 11:44:20,1012,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"25,16","13,98",PZ,11.18
5949,10915/2017,2017-06-26 11:45:03,2017-06-26 11:53:35,04,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 2,"19,32",14,PZ,5.32
5950,10917/2017,2017-06-26 11:52:23,2017-06-26 12:02:58,910,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 1,"18,34","17,54",PZ,0.8
5951,10918/2017,2017-06-26 11:55:59,2017-06-26 12:07:35,BI 3655W,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"22,78","14,08",PZ,8.7
5952,10919/2017,2017-06-26 11:57:57,2017-06-26 12:17:21,909,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 1,"19,52","12,24",PZ,7.28
5953,10920/2017,2017-06-26 12:01:51,2017-06-26 12:20:47,908,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 3,"24,8","14,46",PZ,10.34
5954,10922/2017,2017-06-26 12:11:45,2017-06-26 12:19:22,237,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"23,92","15,8",PZ,8.12
5955,10923/2017,2017-06-26 12:18:14,2017-06-26 12:31:00,067,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"21,42","15,28",PZ,6.14
5956,10924/2017,2017-06-26 12:22:08,2017-06-26 12:32:59,1026,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"25,18","16,26",PZ,8.92
5957,10925/2017,2017-06-26 12:34:06,2017-06-26 12:40:45,907,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"17,2","15,12",PZ,2.08
5958,10926/2017,2017-06-26 12:58:58,2017-06-26 13:05:06,277,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"24,4","15,72",PZ,8.68
5959,10927/2017,2017-06-26 13:00:01,2017-06-26 13:05:41,1006,MPO Sp. z o.o.,20 03 01,CHOROSZCZ,"18,06","15,2",PZ,2.86
5960,10928/2017,2017-06-26 13:07:38,2017-06-26 13:14:01,267,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"22,58","15,1",PZ,7.48
5961,10929/2017,2017-06-26 13:08:37,2017-06-26 13:14:46,577,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"23,32","16,78",PZ,6.54
5962,10930/2017,2017-06-26 13:17:19,2017-06-26 13:30:44,1016,MPO Sp. z o.o.,20 03 01,CHOROSZCZ,"17,92","14,9",PZ,3.02
5963,10931/2017,2017-06-26 13:22:38,2017-06-26 13:27:47,03,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 2,"24,22","13,96",PZ,10.26
5964,10932/2017,2017-06-26 13:25:02,2017-06-26 13:33:26,227,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"20,28","14,62",PZ,5.66
5965,10933/2017,2017-06-26 13:29:43,2017-06-26 13:37:39,05,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 2,"25,22","13,88",PZ,11.34
5966,10934/2017,2017-06-26 13:34:38,2017-06-26 13:40:16,920,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 3,"25,82","15,78",PZ,10.04
5967,10935/2017,2017-06-26 13:36:13,2017-06-26 13:42:20,11,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 5,"17,08","15,1",PZ,1.98
5968,10936/2017,2017-06-26 14:01:09,2017-06-26 14:09:34,BI 3655W,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"27,98","14,12",PZ,13.86
5969,10937/2017,2017-06-26 14:16:33,2017-06-26 14:23:23,911,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 3,"26,4","15,8",PZ,10.6
5970,10938/2017,2017-06-26 14:40:53,2017-06-26 14:53:43,BI 4792J,Przedsiębiorstwo Gospodarki Komunalnej Sp. z o.o,19 12 12,ZAMBRÓW,"38,22","16,92",PZ,21.3
5971,10939/2017,2017-06-26 15:26:57,2017-06-26 15:34:16,908,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 3,"23,56","14,44",PZ,9.12
5972,10940/2017,2017-06-26 17:04:38,2017-06-26 17:24:09,BI 3768V,Zakład Gospodarowania Odpadami Sp. z o.o.,19 12 12,Łomża,"39,74","15,22",PZ,24.52
5973,10941/2017,2017-06-26 17:13:08,2017-06-26 17:20:18,908,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 3,"18,48","14,42",PZ,4.06
5974,10943/2017,2017-06-26 17:23:11,2017-06-26 17:33:18,1012,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 1,"24,98","13,86",PZ,11.12
5975,10945/2017,2017-06-26 17:30:24,2017-06-26 17:34:57,759,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"4,52","3,62",PZ,0.9
5976,10946/2017,2017-06-26 19:37:59,2017-06-26 19:42:37,759,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 3,"4,34","3,6",PZ,0.74
5977,10947/2017,2017-06-26 19:38:40,2017-06-26 19:49:41,910,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 1,"31,48","17,58",PZ,13.9
5978,10948/2017,2017-06-26 20:30:27,2017-06-26 20:35:56,1012,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 1,"19,62","13,86",PZ,5.76
5979,10951/2017,2017-06-27 04:59:14,2017-06-27 05:18:28,BI 3229W,Przedsiębiorstwo Usług Komunalnych Sp. z o.o,19 12 12,HAJNÓWKA,"40,52","16,14",PZ,24.38
5980,10975/2017,2017-06-27 06:29:09,2017-06-27 06:33:49,1011,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 3,"4,4","3,9",PZ,0.5
5981,10981/2017,2017-06-27 06:49:15,2017-06-27 07:03:50,BI 4792J,MPO Sp. z o.o.,20 03 01,SZUDZIAŁOWO,"33,74","16,9",PZ,16.84
5982,10984/2017,2017-06-27 07:01:03,2017-06-27 07:08:30,BI 3655W,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"26,96","14,08",PZ,12.88
5983,10986/2017,2017-06-27 07:16:21,2017-06-27 07:21:14,720,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"8,58","7,6",PZ,0.98
5984,10987/2017,2017-06-27 08:02:48,2017-06-27 08:18:21,BI 4792J,MPO Sp. z o.o.,19 12 10,BIAŁYSTOK,"35,16","16,9",PZ,18.26
5985,10988/2017,2017-06-27 08:04:27,2017-06-27 08:19:53,BHA 87TC,Przedsiębiorstwo Usług Komunalnych Sp. z o.o,19 12 12,HAJNÓWKA,"39,02","15,74",PZ,23.28
5986,10990/2017,2017-06-27 08:27:17,2017-06-27 08:34:04,BI 3655W,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"23,78","14,06",PZ,9.72
5987,10991/2017,2017-06-27 10:05:29,2017-06-27 10:12:54,BI 3655W,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"28,38","14,04",PZ,14.34
5988,10993/2017,2017-06-27 10:07:58,2017-06-27 10:12:23,920,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 3,"23,42","15,64",PZ,7.78
5989,10994/2017,2017-06-27 10:11:10,2017-06-27 10:32:41,BI 3768V,Zakład Gospodarowania Odpadami Sp. z o.o.,19 12 12,Łomża,"36,5","15,18",PZ,21.32
5990,10996/2017,2017-06-27 10:29:42,2017-06-27 10:36:50,910,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 1,"24,34","17,62",PZ,6.72
5991,10997/2017,2017-06-27 11:04:44,2017-06-27 11:11:18,1012,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,22,"14,02",PZ,7.98
5992,10998/2017,2017-06-27 11:49:23,2017-06-27 11:54:53,096,Miasto Białystok- Urząd Miejski w Białymstoku (gm. Czarna Białostocka),20 03 01,Czarna Białostocka,"18,34","12,5",PZ,5.84
5993,10999/2017,2017-06-27 11:50:54,2017-06-27 12:06:59,BI 3229W,Przedsiębiorstwo Gospodarki Odpadami w Suwałkach Sp. z o.o.,19 12 12,SUWAŁKI,"39,44","16,06",PZ,23.38
5994,11000/2017,2017-06-27 12:03:44,2017-06-27 12:11:10,BI 3655W,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"24,88","14,04",PZ,10.84
5995,11001/2017,2017-06-27 12:04:26,2017-06-27 12:14:54,227,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"25,26","14,68",PZ,10.58
5996,11004/2017,2017-06-27 12:25:12,2017-06-27 12:31:27,909,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 1,"19,94","12,14",PZ,7.8
5997,11005/2017,2017-06-27 12:32:20,2017-06-27 12:36:30,087,"Przedsiębiorstwo Usługowo-Asenizacyjne ""ASTWA"" Sp. z o.o.",20 03 01,ZABŁUDÓW,"21,2",16,PZ,5.2
5998,11006/2017,2017-06-27 12:56:59,2017-06-27 13:07:12,1016,MPO Sp. z o.o.,20 03 01,CHOROSZCZ,"19,66","14,86",PZ,4.8
5999,11007/2017,2017-06-27 12:58:55,2017-06-27 13:04:54,P02,Urząd Miejski w Czarnej Białostockiej,20 03 01,Czarna Białostocka,"4,64","3,82",PZ,0.82
6000,11008/2017,2017-06-27 12:59:41,2017-06-27 13:05:45,1006,MPO Sp. z o.o.,20 03 01,CHOROSZCZ,"19,76","15,18",PZ,4.58
6001,11009/2017,2017-06-27 13:01:01,2017-06-27 13:21:45,BI 4792J,Przedsiębiorstwo Gospodarki Komunalnej Sp. z o.o,19 12 12,ZAMBRÓW,"40,24","16,8",PZ,23.44
6002,11010/2017,2017-06-27 13:08:04,2017-06-27 13:13:24,237,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"26,4","15,8",PZ,10.6
6003,11011/2017,2017-06-27 13:11:23,2017-06-27 13:16:56,05,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 2,"24,68","13,86",PZ,10.82
6004,11013/2017,2017-06-27 13:42:18,2017-06-27 13:49:57,1026,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,25,"16,22",PZ,8.78
6005,11014/2017,2017-06-27 14:52:33,2017-06-27 14:59:51,BI 3655W,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"25,4","14,02",PZ,11.38
6006,11017/2017,2017-06-27 16:32:32,2017-06-27 16:52:23,BI 3768V,Zakład Gospodarowania Odpadami Sp. z o.o.,19 12 12,Łomża,"33,6","15,1",PZ,18.5
6007,11018/2017,2017-06-27 17:00:14,2017-06-27 17:07:37,758,MPO Sp. z o.o.,20 03 01,CHOROSZCZ,"26,3","16,26",PZ,10.04
6008,11021/2017,2017-06-28 05:02:54,2017-06-28 05:22:39,BI 3229W,Przedsiębiorstwo Usług Komunalnych Sp. z o.o,19 12 12,HAJNÓWKA,"40,52","16,02",PZ,24.5
6009,11029/2017,2017-06-28 05:54:07,2017-06-28 06:08:04,BI 4792J,MPO Sp. z o.o.,19 12 10,BIAŁYSTOK,"37,4","16,78",PZ,20.62
6010,11039/2017,2017-06-28 06:16:29,2017-06-28 06:20:48,777,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"7,54","7,06",PZ,0.48
