Lp.,KWIT NR,DATA 1 WAŻENIA,DATA 2 WAŻENIA,POJAZD/ WAGON,KONTRAHENT,PRODUKT,POCHODZENIE,"WAŻENIE 1(BRUTTO)","WAŻENIE 2(TARA)",TYP WAŻENIA,NETTO
5693,10455/2017,2017-06-19 10:31:32,2017-06-19 10:38:28,577,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"26,46","16,7",PZ,9.76
5694,10456/2017,2017-06-19 10:34:09,2017-06-19 10:43:39,02,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 5,"8,5","6,86",PZ,1.64
5695,10457/2017,2017-06-19 10:38:46,2017-06-19 10:46:17,1020,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 1,"25,42","17,96",PZ,7.46
5696,10458/2017,2017-06-19 10:50:37,2017-06-19 10:55:07,007,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"20,64","15,06",PZ,5.58
5697,10459/2017,2017-06-19 11:02:20,2017-06-19 11:07:34,652,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"7,26","6,78",PZ,0.48
5698,10460/2017,2017-06-19 11:16:38,2017-06-19 11:22:09,077,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"24,2","15,46",PZ,8.74
5699,10461/2017,2017-06-19 11:26:34,2017-06-19 11:35:09,908,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 3,"22,44","14,46",PZ,7.98
5700,10462/2017,2017-06-19 11:31:25,2017-06-19 11:37:59,911,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 3,"28,78","15,76",PZ,13.02
5701,10463/2017,2017-06-19 11:39:39,2017-06-19 11:44:46,237,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"24,62","15,82",PZ,8.8
5702,10464/2017,2017-06-19 11:42:56,2017-06-19 11:46:48,652,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"7,08","6,62",PZ,0.46
5703,10465/2017,2017-06-19 11:48:10,2017-06-19 11:52:09,04,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 2,"21,98","13,84",PZ,8.14
5704,10466/2017,2017-06-19 11:57:59,2017-06-19 12:03:54,909,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"19,56","12,2",PZ,7.36
5705,10467/2017,2017-06-19 11:58:37,2017-06-19 12:04:57,096,Miasto Białystok- Urząd Miejski w Białymstoku (gm. Czarna Białostocka),20 03 01,Czarna Białostocka,"14,14","12,44",PZ,1.7
5706,10468/2017,2017-06-19 12:03:56,2017-06-19 12:08:55,999,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 1,"4,22","3,56",PZ,0.66
